标签,,动态规划、位运算、哈希、数学、双指针、三指针、枚举、众数、线性表、二进制,,,,,,,,,,,,,,,,,,,,,,,,,,
,,广度优先搜索、深度优先搜索、回溯算法、分治算法、贪心算法、构造算法,,,,,,,,,,,,,,,,,,,,,,,,,,
,,二分查找、排序、桶排、拓扑排序、快排、堆排、优先队列、队列、分块,,,,,,,,,,,,,,,,,,,,,,,,,,
,,并查集、主席树、树状数组、字典树、平衡树、线段树、树链剖分、图、线性表、数组、可持久化、字典、栈、生成树、最近公共祖先,,,,,,,,,,,,,,,,,,,,,,,,,,
,,裴属定理、AC自动机、几何、滑动窗口、强连通分量、sap、搜索、邻接矩阵、bit magic、splay,,,,,,,,,,,,,,,,,,,,,,,,,,
题目ID,,题目名称,所属类别,标签一,标签二,标签三,难度,,,,,,,,,,,,,,,,,,,,,
2751,,01矩阵,查找算法,广度优先搜索,动态规划,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2899,,4的幂,数字操作,位运算,数学,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2374,,按频率对数组元素排序,数组,哈希,排序,,geeksforgeeks中等,,,,,,,,,,,,,,,,,,,,,
2498,,按奇偶排序数组,数组,快排,双指针,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2926,,波利卡普的口袋,数组,枚举,桶排,众数,洛谷入门,,,,,,,,,,,,,,,,,,,,,
2670,,补码,线性表,位运算,,,geeksforgeeks简单,,,,,,,,,,,,,,,,,,,,,
2418,,不浪费原料的汉堡制作方案,数字操作,数学,贪心算法,二分查找,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2734,,采花,树结构,主席树,树状数组,排序,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2678,,查找设置位的位置,线性表,位运算,,,简单,,,,,,,,,,,,,,,,,,,,,
2583,,丑数 III,数字操作,二分查找,三指针,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2903,,串联字符串的最大长度,数组,回溯算法,深度优先搜索,位运算,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2626,,戳气球,数字操作,分治算法,动态规划,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2714,,词语接龙游戏,树结构,动态规划,,,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2591,,从属之数,线性表,线性表,,,简单,,,,,,,,,,,,,,,,,,,,,
2767,,达到指定分数,线性表,动态规划,,,简单,,,,,,,,,,,,,,,,,,,,,
2709,,打砖块,查找算法,并查集,,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2882,,单峰数组,数组,分治算法,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2914,,单推,数组,枚举,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2754,,地图分析,图结构,广度优先搜索,动态规划,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2717,,等式方程的可满足性,查找算法,并查集,图,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2609,,第K个不同元素,线性表,线性表,,,简单,,,,,,,,,,,,,,,,,,,,,
2307,,多数元素,数组,位运算,分治算法,哈希,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2726,,二叉树的最小深度,查找算法,广度优先搜索,深度优先搜索,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2606,,二分查找,查找算法,二分查找,双指针,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2905,,二进制链表转整数,线性表,位运算,,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2672,,反转位,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2927,,范围技能,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2580,,范围求和 II,数字操作,数学,贪心算法,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2587,,访问所有点的最小时间,数字操作,数学,,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2414,,飞机座位分配概率,数字操作,动态规划,数学,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2612,,非重合点对,数字操作,哈希,数学,,geeksforgeeks中等,,,,,,,,,,,,,,,,,,,,,
2922,,菲利亚的作业,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2965,,复制粘贴,字符串,动态规划,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2660,,高级打印机,树结构,主席树,可持久化,,洛谷省选-,,,,,,,,,,,,,,,,,,,,,
2625,,给表达式添加运算符,数字操作,分治算法,回溯算法,深度优先搜索,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2779,,购买数组,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2525,,规划兼职工作,查找算法,二分查找,动态规划,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2885,,合并数组,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2534,,合并K个排序数组,排序算法,分治算法,,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2176,,后缀排序,数组,排序,,,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2878,,花园浇花,数组,数组,,,简单,,,,,,,,,,,,,,,,,,,,,
2871,,划分三人团队,数组,数组,,,简单,,,,,,,,,,,,,,,,,,,,,
2335,,坏了的计算器,数字操作,数学,贪心算法,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2744,,回文串,树结构,哈希,字典树,,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2719,,会场预约,树结构,平衡树,树状数组,,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2881,,绘制水晶矿,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2766,,火柴游戏,线性表,线性表,,,简单,,,,,,,,,,,,,,,,,,,,,
2628,,积分点数,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
0,,级数破解,,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2768,,计数可被M整除的数字,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
0,,计算子序列,,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
0,,检查好数组,,数学,裴属定理,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2544,,检查两个线段是否相交,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2775,,检查三个连续数字,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2771,,检查数字是否为完全平方,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2718,,交换字符串中的元素,数组,并查集,桶排,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2901,,交替位二进制数,数字操作,位运算,,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2930,,局部极值,数组,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2571,,矩形区域不超过 K 的最大数值和,查找算法,二分查找,动态规划,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2773,,矩阵中的最长递增路径,查找算法,深度优先搜索,拓扑排序,动态规划,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2582,,绝对值表达式的最大值,数字操作,位运算,数学,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2742,,可持久化平衡树,树结构,线段树,平衡树,深度优先搜索,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2541,,课程表,查找算法,深度优先搜索,广度优先搜索,拓扑排序,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2765,,利率问题,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2776,,连接词,树结构,深度优先搜索,字典树,动态规划,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2526,,两棵二叉搜索树中的所有元素,排序算法,排序,深度优先搜索,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2917,,曼哈顿距离和欧式距离,数组,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2973,,密文搜索,字符串,二分查找,排序,,蓝桥杯,,,,,,,,,,,,,,,,,,,,,
2712,,模式串,树结构,字典树,AC自动机,,提高+/省选-,,,,,,,,,,,,,,,,,,,,,
2663,,模式识别,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2627,,魔盒,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2528,,排序数组,数组,排序,堆排,快排,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2891,,平等日,数组,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2879,,铺设沥青,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2620,,前n个自然数的第五次幂的和,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2707,,情侣牵手,查找算法,贪心算法,并查集,图,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2777,,求中位数,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2737,,求众数,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2913,,全为零的数组,数组,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2538,,缺失的第一个正数,排序算法,数组,,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2594,,任何两个相同字符之间的最大字符数,线性表,字典,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2704,,冗余连接,图结构,深度优先搜索,并查集,拓扑排序,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2989,,三个字符串的排序,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2574,,山洞石刻,线性表,线性表,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2748,,删除无效的括号,查找算法,广度优先搜索,深度优先搜索,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2864,,删除元素,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2869,,删除重复元素,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2916,,删去它,数组,数组,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2476,,绳索的最低成本,线性表,贪心算法,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2588,,史密斯数,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2510,,树链剖分,树结构,树链剖分,,,提高+/省选-,,,,,,,,,,,,,,,,,,,,,
2749,,树上后缀排序,树结构,倍增,后缀数组,,省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2772,,数的立方根,线性表,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2953,,数字对,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2895,,数字范围按位与,数字操作,位运算,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2780,,数组乘法的余数,线性表,线性表,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2537,,数组中的第K个最大元素,查找算法,分治算法,快排,堆排,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2902,,水晶矿,树结构,模拟,字符串,,入门,,,,,,,,,,,,,,,,,,,,,
2743,,松鼠的新家,树结构,线段树,最近公共祖先,树链剖分,提高+/省选-,,,,,,,,,,,,,,,,,,,,,
2452,,搜索二维矩阵,数字操作,二分查找,双指针,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2925,,隧道超车,数组,排序,双指针,,codeForces,,,,,,,,,,,,,,,,,,,,,
2581,,逃脱阻碍者,数字操作,数学,曼哈顿距离,贪心算法,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2886,,袜子配对,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2769,,网格中的最短路径,查找算法,广度优先搜索,深度优先搜索,动态规划,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2752,,为高尔夫比赛砍树,查找算法,广度优先搜索,优先队列,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2624,,为运算表达式设计优先级,数字操作,分治算法,动态规划,深度优先搜索,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2595,,无聊的杰克,数字操作,数字操作,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2887,,系统管理员,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2711,,相似字符串组,查找算法,深度优先搜索,广度优先搜索,并查集,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2778,,相同的第一位和最后一位数字,线性表,线性表,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2880,,小丑海盗船,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2710,,小马里卡和爷爷,树结构,模拟,线段树,,洛谷提高+/省选-,,,,,,,,,,,,,,,,,,,,,
2693,,小清新计算题,树结构,枚举暴力,素数判断,前缀和,洛谷省选/NOI-,,,,,,,,,,,,,,,,,,,,,
2889,,小瓦西亚的橙汁,数组,数组,数学,,codeforce一星,,,,,,,,,,,,,,,,,,,,,
2921,,小Polo的整数矩阵,数组,二分查找,动态规划,暴力,codeForces,,,,,,,,,,,,,,,,,,,,,
2619,,幸运数字,数字操作,哈希,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2763,,序列顺序,线性表,分治算法,,,geeksforgeeks easy,,,,,,,,,,,,,,,,,,,,,
2910,,旋转矩形,数组,贪心算法,排序,,codeForces,,,,,,,,,,,,,,,,,,,,,
2915,,选择问题集,数组,数组,特殊问题,,codeForces,,,,,,,,,,,,,,,,,,,,,
2924,,学术奖学金,数组,贪心算法,排序,,codeForces,,,,,,,,,,,,,,,,,,,,,
2883,,寻找黑色子矩阵,数组,动态规划,哈希,,codeForces,,,,,,,,,,,,,,,,,,,,,
2413,,循环码排列,数字操作,格雷码,深度优先搜索,回溯算法,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2929,,压缩歌曲,数组,排序,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2756,,颜色交替的最短路径,图结构,广度优先搜索,深度优先搜索,拓扑排序,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2616,,伊桑的总和问题,数字操作,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2586,,移动石子直到连续,数字操作,数学,排序,,codeForces,,,,,,,,,,,,,,,,,,,,,
2890,,意大利炮,数组,排序,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2716,,由斜杠划分区域,查找算法,深度优先搜索,并查集,贪心算法,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2666,,邮件传播,线性表,贪心算法,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2948,,缘分计算,字符串,数学,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2585,,在LR字符串中交换相邻字符,数字操作,双指针,,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2884,,侦察单位,数组,暴力,数组,,codeForces,,,,,,,,,,,,,,,,,,,,,
2360,,正方形数组的数目,数字操作,回溯算法,深度优先搜索,排序,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2893,,只出现一次的数字,数组,位运算,哈希,,codeForces,,,,,,,,,,,,,,,,,,,,,
2536,,重新安排行程,查找算法,深度优先搜索,回溯算法,哈希,codeForces,,,,,,,,,,,,,,,,,,,,,
2246,,重新排序得到 2 的幂,数字操作,哈希,数学,,codeForces,,,,,,,,,,,,,,,,,,,,,
2736,,主席树2,树结构,主席树,线段树,,codeForces,,,,,,,,,,,,,,,,,,,,,
2980,,字符串编辑,字符串,动态规划,,,蓝桥杯,,,,,,,,,,,,,,,,,,,,,
2977,,字符串的反码,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2986,,字符串的修改,字符串,动态规划,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2991,,字符串分类统计,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2987,,字符串正反连接,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2988,,自定义函数之字符串拷贝,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
0,,子串游戏,,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2545,,总和为0的子数组,线性表,哈希,滑窗,,geeksforgeeks easy,,,,,,,,,,,,,,,,,,,,,
2739,,组合总和,数组,数组,回溯算法,深度优先搜索,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2897,,最大单词长度乘积,查找算法,位运算,,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2774,,最大化玩具,线性表,贪心算法,,,geeksforgeeks easy,,,,,,,,,,,,,,,,,,,,,
2738,,最大矩形,数组,哈希,动态规划,栈,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2621,,最大子序和,数字操作,数组,分治算法,动态规划,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2764,,最大总和问题,线性表,动态规划,,,geeksforgeeks easy,,,,,,,,,,,,,,,,,,,,,
2539,,最短无序连续子数组,数组,排序,双指针,贪心算法,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2535,,最多能完成排序的块,排序算法,数组,栈,二分查找,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2640,,最小覆盖子串,查找算法,哈希,双指针,滑窗,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2750,,最小高度树,图结构,广度优先搜索,深度优先搜索,拓扑排序,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2740,,最小时间差,字符串,排序,几何,双指针,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2410,,最长定差子序列,数字操作,动态规划,哈希,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2967,,最长公共子串,字符串,动态规划,,,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2741,,最长连续递增序列,查找算法,动态规划,双指针,贪心算法,codeForces,,,,,,,,,,,,,,,,,,,,,
2542,,最长连续序列,查找算法,哈希,并查集,动态规划,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2475,,最长连续子序列,线性表,动态规划,,,geeksforgeeks easy,,,,,,,,,,,,,,,,,,,,,
2613,,Connell序列,数字操作,数学,,,geeksforgeeks easy,,,,,,,,,,,,,,,,,,,,,
2888,,Eugeny的数组,数组,贪心算法,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2753,,K站中转内最便宜的航班,查找算法,广度优先搜索,深度优先搜索,动态规划,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2758,,m叉树的数量,树结构,动态规划,图论,树形结构,洛谷省选,,,,,,,,,,,,,,,,,,,,,
2584,,Nim 游戏,数字操作,数学,动态规划,极小化极大,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2811,,DZY喜欢哈希,数组,哈希,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2399,,Gobosort,排序,贪心算法,数学,,洛谷省选,,,,,,,,,,,,,,,,,,,,,
2941,,GPA计算,字符串,字符串,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2493,,HH的项链,字符串,线段树,二分查找,主席树,洛谷提高+,,,,,,,,,,,,,,,,,,,,,
2791,,谭雅爬楼梯,数组,模拟,概率论,,codeForces,,,,,,,,,,,,,,,,,,,,,
2790,,小于或等于查询,数组,排序,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2603,,找出第k小的距离对,数组,二分查找,双指针,二分搜索,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2789,,正方形屋顶,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2800,,递增序列,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2822,,纸牌游戏,数组,二分查找,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2701,,找出井字棋的获胜者,数组,位运算,数学,哈希,leetcode简单,,,,,,,,,,,,,,,,,,,,,
2821,,塞雷贾和迪玛,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2820,,瓦莱拉的咖啡店,数组,数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2368,,交替重新排列阵列,数组,排序,数组,,codeForces,,,,,,,,,,,,,,,,,,,,,
2345,,查找缺失和重复,数组,数组,搜索,,geekforgeeks,,,,,,,,,,,,,,,,,,,,,
2365,,最大数字,数组,排序,,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2809,,连木棍成树,数组,排列组合,,,geekforgeeks,,,,,,,,,,,,,,,,,,,,,
2808,,交换元素,数组,,,,geekforgeeks,,,,,,,,,,,,,,,,,,,,,
2829,,数组的稳定性,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2807,,Neko打开藏宝箱,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2806,,达夫喜欢吃肉,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2828,,跳塔手游,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2827,,重力盒子,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2805,,最长连续上升子序列,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2804,,森雅学加法,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2826,,卓越奖章,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2825,,Smith的排名,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2847,,瓦西亚的梦想,数组,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2081,,子串查找,字符串,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2180,,找相同字符,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2190,,甲苯先生和大中锋的字符串,字符串,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2188,,字串覆盖,字符串,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2892,,梦中的统计,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2199,,猫咪,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2177,,Array Poisonous Suffix Problem,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2198,,求字符串所有后缀贡献最大值,字符串,,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2164,,区分所有子字符串的最小更改,字符串,,,,geekforgeeks,,,,,,,,,,,,,,,,,,,,,
2196,,Samjia和矩阵,字符串,后缀数组,,,codeForces,,,,,,,,,,,,,,,,,,,,,
2531,,根据字符出现频率排序,字符串,堆,哈希表,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2894,,honoka的键盘,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2530,,自定义字符串排序,字符串,,,,leetcode中等,,,,,,,,,,,,,,,,,,,,,
2178,,生成魔咒,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2200,,好坏字符串,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2908,,单词分类,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2936,,电话号码,字符串,,,,,,,,,,,,,,,,,,,,,,,,,
2474,,最长有效括号,线性表,字符串,动态规划,,leetcode困难,,,,,,,,,,,,,,,,,,,,,
2592,,矩形围成一圈,线性表,数学,,,geekforgeeks,,,,,,,,,,,,,,,,,,,,,
2173,,特殊奇数和,线性表,序列,,,geekforgeeks,,,,,,,,,,,,,,,,,,,,,
